locus_tag	abundance	source_gene_id
M744_RS01575	809.6004	Synpcc7942_0276
M744_RS01580	122.4606	Synpcc7942_0275
M744_RS01585	65.4285	Synpcc7942_0274
M744_RS01590	86.5121	Synpcc7942_0273
M744_RS01595	191.3811	Synpcc7942_0272
M744_RS01600	126.3566	Synpcc7942_0271
M744_RS01605	381.8223	Synpcc7942_0270
M744_RS01610	204.9033	Synpcc7942_0269
M744_RS01615	64.3940	Synpcc7942_0268
M744_RS01620	1317.0803	Synpcc7942_0267
M744_RS01625	125.1307	Synpcc7942_0266
M744_RS01630	175.0179	Synpcc7942_0265
M744_RS01635	289.1577	Synpcc7942_0264
M744_RS01640	297.3450	Synpcc7942_0263
M744_RS01645	1757.4747	Synpcc7942_0262
M744_RS01650	162.6900	Synpcc7942_0261
M744_RS01655	26778.7863	Synpcc7942_0260
M744_RS01660	2350.1828	Synpcc7942_0259
M744_RS01665	156.2280	Synpcc7942_0258
M744_RS01670	110.7288	Synpcc7942_0257
M744_RS01680	723.9297	Synpcc7942_0255
M744_RS01685	3148.2325	Synpcc7942_0254
M744_RS01690	1086.2017	Synpcc7942_0253
M744_RS01695	1356.5093	Synpcc7942_0252
M744_RS01700	44.1597	Synpcc7942_0251
M744_RS01705	67.2736	Synpcc7942_0250
M744_RS01710	175.3695	Synpcc7942_0249
M744_RS01715	286.4618	Synpcc7942_0248
M744_RS01720	263.9114	Synpcc7942_0247
M744_RS01725	514.7888	Synpcc7942_0246
M744_RS01730	385.3866	Synpcc7942_0245
M744_RS01735	1134.6466	Synpcc7942_0244
M744_RS01740	1060.0430	Synpcc7942_0243
M744_RS01745	940.9362	Synpcc7942_0242
M744_RS01755	225.2928	Synpcc7942_0241
M744_RS01760	4186.5670	Synpcc7942_0240
M744_RS01765	175.6164	Synpcc7942_0239
M744_RS01770	264.0478	Synpcc7942_0238
M744_RS01775	79.5661	Synpcc7942_0237
M744_RS01780	594.4016	Synpcc7942_0236
M744_RS01785	153.6861	Synpcc7942_0235
M744_RS01790	166.1618	Synpcc7942_0234
M744_RS01795	528.8623	Synpcc7942_0233
M744_RS01800	296.3553	Synpcc7942_0232
M744_RS01805	27.1456	Synpcc7942_0231
M744_RS01810	178.3046	Synpcc7942_0230
M744_RS01815	214.3723	Synpcc7942_0229
M744_RS01820	131.7008	Synpcc7942_0228
M744_RS01825	687.1181	Synpcc7942_0227
M744_RS01830	682.7548	Synpcc7942_0226
M744_RS01835	9327.1332	Synpcc7942_0225
M744_RS01840	256.0289	Synpcc7942_0224
M744_RS01845	677.6027	Synpcc7942_0223
M744_RS01850	105.5799	Synpcc7942_0222
M744_RS01855	365.9883	Synpcc7942_0221
M744_RS01860	203.2501	Synpcc7942_0220
M744_RS01865	92.1790	Synpcc7942_0219
M744_RS01870	169.4872	Synpcc7942_0218
M744_RS01880	421.6319	Synpcc7942_0217
M744_RS01885	188.5746	Synpcc7942_0216
M744_RS01890	2795.5148	Synpcc7942_0215
M744_RS01895	298.8412	Synpcc7942_0214
M744_RS01900	74.8598	Synpcc7942_0213
M744_RS01905	478.9882	Synpcc7942_0212
M744_RS01910	158.0215	Synpcc7942_0211
M744_RS01915	59.2840	Synpcc7942_0210
M744_RS01920	121.0901	Synpcc7942_0209
M744_RS01925	331.8856	Synpcc7942_0208
M744_RS01935	59.0418	Synpcc7942_0206
M744_RS01940	215.8877	Synpcc7942_0205
M744_RS01950	83.4124	Synpcc7942_0203
M744_RS01955	223.9929	Synpcc7942_0202
M744_RS01960	79.9206	Synpcc7942_0201
M744_RS01965	70.3635	Synpcc7942_0200
M744_RS01970	123.4343	Synpcc7942_0199
M744_RS01975	280.2289	Synpcc7942_0198
M744_RS01980	537.9456	Synpcc7942_0197
M744_RS01985	250.8435	Synpcc7942_0196
M744_RS01990	1202.1795	Synpcc7942_0195
M744_RS01995	903.2698	Synpcc7942_0194
M744_RS02005	589.9794	Synpcc7942_0192
M744_RS02010	1342.9458	Synpcc7942_0191
M744_RS02015	58.7879	Synpcc7942_0190
M744_RS02020	2991.9280	Synpcc7942_0189
M744_RS02025	328.4172	Synpcc7942_0188
M744_RS02030	223.2049	Synpcc7942_0187
M744_RS02035	19.2771	Synpcc7942_0186
M744_RS02040	170.4626	Synpcc7942_0185
M744_RS02045	117.1928	Synpcc7942_0184
M744_RS02050	43.6270	Synpcc7942_0183
M744_RS02055	27.4751	Synpcc7942_0182
M744_RS02060	628.1413	Synpcc7942_0181
M744_RS02065	208.7560	Synpcc7942_0180
M744_RS02070	34.4949	Synpcc7942_0179
M744_RS02075	215.3840	Synpcc7942_0178
M744_RS02080	149.4108	Synpcc7942_0177
M744_RS02090	69.5574	Synpcc7942_0175
M744_RS02095	81.8221	Synpcc7942_0174
M744_RS02100	45.7698	Synpcc7942_0173
M744_RS02105	84.5990	Synpcc7942_0172
M744_RS02110	282.3182	Synpcc7942_0171
M744_RS02115	132.3614	Synpcc7942_0170
M744_RS02120	2568.6405	Synpcc7942_0169
M744_RS02125	1678.3935	Synpcc7942_0168
M744_RS02130	330.9631	Synpcc7942_0167
M744_RS02140	539.8939	Synpcc7942_0166
M744_RS02145	188.2191	Synpcc7942_0165
M744_RS02150	499.1455	Synpcc7942_0164
M744_RS02155	549.4344	Synpcc7942_0163
M744_RS02160	331.7147	Synpcc7942_0162
M744_RS02165	303.4659	Synpcc7942_0161
M744_RS02170	126.9995	Synpcc7942_0160
M744_RS02175	19.7217	Synpcc7942_0159
M744_RS02180	2382.4939	Synpcc7942_0158
M744_RS02185	1575.4276	Synpcc7942_0157
M744_RS02190	1435.7721	Synpcc7942_0156
M744_RS02195	28.0456	Synpcc7942_0155
M744_RS02200	127.0751	Synpcc7942_0154
M744_RS02205	322.7353	Synpcc7942_0153
M744_RS02210	630.3342	Synpcc7942_0152
M744_RS02215	615.7239	Synpcc7942_0151
M744_RS02220	121.4067	Synpcc7942_0150
M744_RS02225	54.1727	Synpcc7942_0149
M744_RS02230	355.0296	Synpcc7942_0148
M744_RS02235	294.0321	Synpcc7942_0147
M744_RS02240	147.5510	Synpcc7942_0146
M744_RS02245	69.3746	Synpcc7942_0145
M744_RS02250	157.3519	Synpcc7942_0144
M744_RS02255	1475.2650	Synpcc7942_0143
M744_RS02260	1366.5991	Synpcc7942_0142
M744_RS02265	692.7832	Synpcc7942_0141
M744_RS02275	9378.5130	Synpcc7942_0139
M744_RS02280	324.0893	Synpcc7942_0138
M744_RS02285	1946.3765	Synpcc7942_0137
M744_RS02290	82.5037	Synpcc7942_0136
M744_RS02295	48.9746	Synpcc7942_0135
M744_RS02300	463.1107	Synpcc7942_0134
M744_RS02305	345.6923	Synpcc7942_0133
M744_RS02310	69.6132	Synpcc7942_0132
M744_RS02315	441.8756	Synpcc7942_0131
M744_RS02320	377.1037	Synpcc7942_0130
M744_RS02325	43.6844	Synpcc7942_0129
M744_RS02330	488.0397	Synpcc7942_0128
M744_RS02335	419.1624	Synpcc7942_0127
M744_RS02345	775.4812	Synpcc7942_0125
M744_RS02350	188.6116	Synpcc7942_0124
M744_RS02360	189.8136	Synpcc7942_0122
M744_RS02370	77.6395	Synpcc7942_0121
M744_RS02375	49.6923	Synpcc7942_0120
M744_RS02380	18.5193	Synpcc7942_0119
M744_RS02385	2819.4525	Synpcc7942_0118
M744_RS02390	83.0012	Synpcc7942_0116
M744_RS02395	22.0698	Synpcc7942_0115
M744_RS02400	1055.1257	Synpcc7942_0114
M744_RS02405	56.3825	Synpcc7942_0113
M744_RS02410	73.5238	Synpcc7942_0112
M744_RS02415	197.7537	Synpcc7942_0111
M744_RS02420	159.3373	Synpcc7942_0110
M744_RS02425	334.9467	Synpcc7942_0109
M744_RS02430	27.7088	Synpcc7942_0108
M744_RS02435	489.7270	Synpcc7942_0107
M744_RS02440	61.8389	Synpcc7942_0106
M744_RS02445	281.8177	Synpcc7942_0105
M744_RS02450	187.9045	Synpcc7942_0104
M744_RS02455	31.3147	Synpcc7942_0103
M744_RS02460	428.9019	Synpcc7942_0102
M744_RS02465	1606.1472	Synpcc7942_0101
M744_RS02470	164.2695	Synpcc7942_0100
M744_RS02475	175.1986	Synpcc7942_0099
M744_RS02480	2120.7917	Synpcc7942_0098
M744_RS02485	279.7969	Synpcc7942_0097
M744_RS02490	414.7983	Synpcc7942_0096
M744_RS02505	18.0678	Synpcc7942_0094
M744_RS02510	138.1299	Synpcc7942_0093
M744_RS02515	276.4104	Synpcc7942_0092
M744_RS02520	94.1397	Synpcc7942_0091
M744_RS02525	567.8702	Synpcc7942_0090
M744_RS02530	578.0884	Synpcc7942_0089
M744_RS02545	257.6097	Synpcc7942_0088
M744_RS02550	568.7274	Synpcc7942_0087
M744_RS02555	807.3460	Synpcc7942_0086
M744_RS02560	38.6558	Synpcc7942_0085
M744_RS02565	458.2136	Synpcc7942_0084
M744_RS02570	78.2436	Synpcc7942_0083
M744_RS02575	936.9878	Synpcc7942_0082
M744_RS02580	235.8871	Synpcc7942_0081
M744_RS02585	412.0018	Synpcc7942_0080
M744_RS02590	829.2488	Synpcc7942_0079
M744_RS02595	162.7097	Synpcc7942_0078
M744_RS02600	254.2368	Synpcc7942_0077
M744_RS02605	223.2054	Synpcc7942_0076
M744_RS02610	1189.5712	Synpcc7942_0075
M744_RS02615	5.0088	Synpcc7942_0074
M744_RS02620	521.7357	Synpcc7942_0073
M744_RS02625	83.8796	Synpcc7942_0072
M744_RS02630	313.4748	Synpcc7942_0071
M744_RS02635	32.0711	Synpcc7942_0070
M744_RS02640	85.7275	Synpcc7942_0069
M744_RS02645	133.3284	Synpcc7942_0068
M744_RS02650	79.5863	Synpcc7942_0067
M744_RS02655	186.7257	Synpcc7942_0066
M744_RS02660	1885.8597	Synpcc7942_0065
M744_RS02665	7.0915	Synpcc7942_0063
M744_RS02670	244.3265	Synpcc7942_0062
M744_RS02675	152.5325	Synpcc7942_0061
M744_RS02685	146.7292	Synpcc7942_0059
M744_RS02690	122.2289	Synpcc7942_0058
M744_RS02695	277.6323	Synpcc7942_0057
M744_RS02700	220.4393	Synpcc7942_0056
M744_RS02710	336.1899	Synpcc7942_0054
M744_RS02715	332.9637	Synpcc7942_0053
M744_RS02720	223.2695	Synpcc7942_0052
M744_RS02725	793.0152	Synpcc7942_0051
M744_RS02730	1710.0504	Synpcc7942_0050
M744_RS02745	797.3803	Synpcc7942_0047
