locus_tag	abundance	source_gene_id
M744_RS01215	285.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01225	782.500000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01230	1250.625000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01235	884.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01240	227.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01245	3409.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01250	174.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01255	321.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01260	3507.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01280	4084.125000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01285	204.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01290	15503.125000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS01295	1117.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01300	17080.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01305	2761.000000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01310	2303.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01320	372.875000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01335	6882.625000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01340	814.375000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01350	297.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01355	1172.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01360	1621.750000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01365	1246.750000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01380	355.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01385	3366.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01395	835.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01400	210.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01405	140.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01410	1370.875000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01415	1902.250000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01420	669.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01425	2582.625000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01430	1073.125000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01435	932.625000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01440	210.875000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01445	1975.625000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01455	1958.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01460	2977.125000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01465	6298.250000	Tan2018_dRNAseq_TSS_count_sum_5TSS
M744_RS01470	1451.875000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01475	5321.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01480	7511.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01490	193.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01495	7356.875000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01505	459.625000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01510	3343.625000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01515	843.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01525	326.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01530	1723.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01535	5957.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01550	402.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01555	844.375000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01560	523.875000	Tan2018_dRNAseq_TSS_count_sum_2TSS
